"@timestamp","system.memory.used.pct","system.memory.actual.used.pct","system.memory.swap.used.pct"
"September 28th 2018, 09:37:37.546","80.73%","51.3%","3.99%"
"September 28th 2018, 09:37:38.896","80.8%","51.37%","3.99%"
"September 28th 2018, 09:37:47.547","80.44%","51%","3.99%"
"September 28th 2018, 09:37:57.547","80.73%","51.27%","3.99%"
"September 28th 2018, 09:38:07.547","80.91%","51.45%","3.99%"
"September 28th 2018, 09:38:17.547","83.64%","54.17%","3.99%"
"September 28th 2018, 09:38:27.547","84.05%","54.58%","3.99%"
"September 28th 2018, 09:38:37.547","84.29%","54.81%","3.99%"
"September 28th 2018, 09:38:38.897","84.32%","54.85%","3.99%"
"September 28th 2018, 09:38:47.547","84.71%","55.23%","3.99%"
