"@timestamp","system.network.in.bytes","system.network.in.packets","system.network.in.dropped","system.network.in.errors","system.network.out.bytes","system.network.out.packets","system.network.out.dropped","system.network.out.errors"
"October 2nd 2018, 00:00:07.548","162.159GB","314,247,915","170,271",0,"158.015GB","330,592,456",0,"169,263"
"October 2nd 2018, 00:00:17.548","162.163GB","314,255,213","170,271",0,"158.019GB","330,600,271",0,"169,267"
"October 2nd 2018, 00:00:27.548","162.167GB","314,263,082","170,271",0,"158.022GB","330,608,529",0,"169,272"
"October 2nd 2018, 00:00:37.548","162.171GB","314,269,917","170,273",0,"158.026GB","330,616,148",0,"169,275"
"October 2nd 2018, 00:00:46.362","162.174GB","314,276,176","170,275",0,"158.03GB","330,622,675",0,"169,276"
"October 2nd 2018, 00:00:47.548","162.175GB","314,277,029","170,275",0,"158.03GB","330,623,596",0,"169,277"
"October 2nd 2018, 00:00:57.548","162.179GB","314,284,771","170,276",0,"158.034GB","330,631,613",0,"169,279"
"October 2nd 2018, 00:01:07.548","162.183GB","314,291,761","170,276",0,"158.038GB","330,638,952",0,"169,285"
"October 2nd 2018, 00:01:17.548","162.187GB","314,299,288","170,276",0,"158.042GB","330,646,786",0,"169,289"
"October 2nd 2018, 00:01:27.548","162.191GB","314,308,362","170,277",0,"158.045GB","330,656,250",0,"169,292"
